№,Date,Температура (°C),Влажность (%)
1,24.12.25,-8,74
2,25.12.25,-3,88
3,26.12.25,-1,92
4,27.12.25,-4,88
5,28.12.25,-5,92
6,29.12.25,-5,90
7,30.12.25,-7,87
8,31.12.25,-6,89
9,01.01.26,-4,91
10,02.01.26,-3,93
11,03.01.26,-2,91
12,04.01.26,-1,90
13,05.01.26,0,94
14,06.01.26,1,91
15,07.01.26,0,86
16,08.01.26,-1,79
17,09.01.26,-2,87
18,10.01.26,-3,92
19,11.01.26,-4,87
20,12.01.26,-5,85
21,13.01.26,-6,83
22,14.01.26,-7,81
23,15.01.26,-8,79
24,16.01.26,-9,77
25,17.01.26,-8,75
26,18.01.26,-7,73
27,19.01.26,-6,71
28,20.01.26,-5,69
29,21.01.26,-4,67
30,22.01.26,-3,65
31,23.01.26,-2,70
32,24.01.26,-1,75
33,25.01.26,0,80
34,26.01.26,1,85
35,27.01.26,2,90
36,28.01.26,1,88
37,29.01.26,0,86
38,30.01.26,-1,84
39,31.01.26,-2,82
40,01.02.26,-3,80
41,02.02.26,-4,78
42,03.02.26,-5,76
43,04.02.26,-6,74
44,05.02.26,-7,72
45,06.02.26,-8,70
46,07.02.26,-9,68
47,08.02.26,-10,66
48,09.02.26,-11,64
49,10.02.26,-10,62
50,11.02.26,-9,60
51,12.02.26,-8,65
52,13.02.26,-7,70
53,14.02.26,-6,75
54,15.02.26,-5,80
55,16.02.26,-4,85
56,17.02.26,-3,87
57,18.02.26,-2,89
58,19.02.26,-1,91
59,20.02.26,0,93
60,21.02.26,1,95
61,22.02.26,2,92
62,23.02.26,3,90
63,24.02.26,2,88
64,25.02.26,1,86
65,26.02.26,0,84
66,27.02.26,-1,82
67,28.02.26,-2,80
68,01.03.26,-3,78
69,02.03.26,-4,76
70,03.03.26,-5,74
71,04.03.26,-6,72
72,05.03.26,-7,70
73,06.03.26,-8,68
